narrative_number,complaint_id,product_group,classification,confidence,delegative_score,evaluative_score,primary_evidence,secondary_signals,conf_bin
87,5069971,mortgage,EVALUATIVE,0.92,0.15,0.92,"The complaint focuses on incorrect escrow calculations, failure to investigate and correct the error, and inability to reach appropriate departments—all framing BSI as a service provider that failed to perform basic functions competently.",The closing statement 'leaves me with no faith in the competency of this company' explicitly frames this as a competence/performance failure rather than a betrayal of trust or relationship violation.,high
88,8963412,mortgage,EVALUATIVE,0.85,0.2,0.85,"The complaint focuses on incorrect late payment reporting despite following Carrington's advice not to make a payment, framing this as a functional error affecting their credit and home purchase.",The detailed payment chronology and emphasis on 'false report' and demanding correction indicates focus on performance failure rather than relationship betrayal.,medium
89,1960782,mortgage,UNCLASSIFIABLE,0.95,0.0,0.0,"This is a regulatory inquiry from a mortgage professional asking whether they can offer group discounts like competitors, not a consumer complaint about trust failure.","The formal business tone ('Sirs,' 'Please advise') and request for regulatory clarification indicates this is a compliance question, not a consumer grievance.",high
90,11655604,credit_card,UNCLASSIFIABLE,0.95,0.0,0.0,The complaint is a straightforward identity theft report where the consumer had no relationship with the institution and is simply reporting fraudulent account opening.,"The tone is purely factual and procedural, with no emotional content, trust language, or relational expectations expressed.",high
91,9550592,credit_card,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on the institution's refusal to accept an affordable $50/month payment plan and enforcement actions (lien, levy) that the consumer finds unreasonable given their financial circumstances.","The retaliation claim adds some delegative elements, but the dominant frame is about unmet expectations for reasonable accommodation and service flexibility.",low
92,16720212,credit_card,DELEGATIVE,0.78,0.78,0.45,"The consumer states 'I relied on those assurances when planning an upcoming trip' and describes the situation as 'predatory and unfair,' expressing betrayal after making a 'good-faith payment' that was followed by misleading guarantees.","The phrase 'Barclays accepted my payment, reduced my limit immediately afterward, and then gave repeated false guarantees' frames the institution as having exploited the consumer's trust and vulnerability.",medium
93,15815903,credit_card,UNCLASSIFIABLE,0.95,0.0,0.0,"The complaint is about a suspected phishing scam where the consumer entered personal information, not about a trust failure with an actual financial institution relationship.",The consumer is seeking preventive action against potential fraud rather than complaining about an institution's performance or betrayal of an existing relationship.,high
94,16479028,credit_card,UNCLASSIFIABLE,0.95,0.0,0.0,"This is a template/form letter with placeholder text ('[describe chargeoff]', '[brief reason]', '[list]') that has not been filled in with actual complaint details.","The formal legal language and structure ('FCRA', 'investigate and remove') indicates a dispute letter format rather than a narrative complaint expressing trust failure.",high
95,1654861,mortgage,EVALUATIVE,0.92,0.15,0.95,"The complaint systematically documents process failures: 24-hour review promise not met, negotiator unavailable, no one looked at the file, inability to close despite approval letter, and overall 'does not have the staffing required, nor the competency' to complete the short sale.","The language focuses on broken promises ('Their word means nothing'), incompetency, lying, and failure to perform basic service functions rather than betrayal of a fiduciary relationship.",high
96,5745591,checking_savings,EVALUATIVE,0.72,0.2,0.75,The complaint focuses on a broken process ('haven't been able to register for online access') and unmet promises ('it was supposed to be taken care of') with frustration at poor service ('no help or long holds').,The mention of health complications and inability to leave the house adds urgency but doesn't shift the complaint from functional failure to betrayal of trust.,low
97,2792843,credit_card,EVALUATIVE,0.85,0.1,0.85,The complaint focuses on a failed refund process with repeated contacts and the functional problem that 'they seem to be holding my money' after a straightforward purchase mistake.,The chronological tracking of multiple contact attempts reflects frustration with an unmet service expectation rather than relationship betrayal.,medium
98,8095587,mortgage,DELEGATIVE,0.92,0.9,0.35,"The complaint uses language of betrayal and predatory intent: 'steal my home,' 'robbed of my funds,' 'tricked me,' 'attempt to humiliate and embarrass me,' and describes systematic retaliation when reporting problems.","The consumer frames SLS as acting in bad faith throughout the relationship ('every time I complain, the more SLS retaliates'), treating the servicer's actions as deliberate betrayal rather than mere incompetence.",high
99,2400974,credit_card,EVALUATIVE,0.72,0.15,0.75,The complaint focuses on Chase's failure to provide information or guidance on procedures: 'they state they can not discuss anything with me' and 'the card company will not provide any information as to how to proceed.',The repeated phrase 'I'm at a loss as to how to proceed' emphasizes frustration with a broken process rather than betrayal of a relationship.,low
100,7463340,checking_savings,UNCLASSIFIABLE,0.9,0.0,0.1,The consumer explicitly states 'I don't and have never had an account with Chase Bank' and describes identity theft where someone else opened an account in their name.,"This is a pure identity theft report with no pre-existing relationship with the institution, making trust mode assessment impossible.",high
